Champion,Patch,Pos,GP,P%,B%,P+B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM
Syndra,13.05,Middle,2,0.111,0.000,0.111,0.000,1.000,4,10,5,0.9,0.563,0.357,0.500,156,174,5.5,7.5,0.225,604.000,0.290,0.238,0.57,0.17
Tahm Kench,13.05,Support,2,0.111,0.000,0.111,0.500,0.500,2,7,12,2,0.560,0.184,0.000,-85,191,16.5,0.9,0.016,173.000,0.065,0.086,1.57,0.32
Veigar,13.05,Middle,2,0.111,0.056,0.167,0.500,0.500,7,9,9,1.8,0.696,0.321,0.000,19,-307,-7,7.4,0.234,646.000,0.249,0.217,0.5,0.22
Yone,13.05,Top,2,0.111,0.222,0.333,0.500,1.000,4,11,3,0.6,0.250,0.324,0.000,514,426,9.5,8.9,0.271,510.000,0.226,0.237,0.43,0.28
Anivia,13.05,Middle,1,0.056,0.000,0.056,0.000,1.000,3,4,2,1.3,0.625,0.200,1.000,-24,284,15,8.3,0.262,524.000,0.266,0.240,0.48,0.2
Ashe,13.05,Support,1,0.056,0.056,0.111,0.000,1.000,0,4,6,1.5,0.750,0.129,0.000,670,165,-14,1.2,0.046,530.000,0.150,0.095,2.03,0.42
Aurelion Sol,13.05,Middle,1,0.056,0.111,0.167,0.000,1.000,10,3,5,5,0.882,0.136,1.000,686,346,2,10,0.343,1193.000,0.423,0.342,0.47,0.19
Braum,13.05,Support,1,0.056,0.000,0.056,1.000,1.000,3,3,9,4,0.857,0.429,0.000,-210,83,-1,1.4,0.036,176.000,0.077,0.128,1.21,0.52
Caitlyn,13.05,ADC,1,0.056,0.500,0.556,0.000,0.000,1,3,5,2,0.857,0.167,0.000,535,575,15,9.1,0.362,699.000,0.334,0.291,0.36,0.34
Galio,13.05,Middle,1,0.056,0.000,0.056,1.000,1.000,1,1,7,8,0.571,0.333,0.000,-580,305,-7,7.2,0.189,375.000,0.148,0.167,0.5,0.04
Gragas,13.05,Top,1,0.056,0.667,0.889,1.000,0.000,2,1,8,10,0.556,0.143,0.000,-196,-153,-17,6.5,0.203,448.000,0.180,0.193,0.53,0.1
Jayce,13.05,Top,1,0.056,0.056,0.389,1.000,0.000,5,1,7,12,0.857,0.143,0.000,569,286,19,9.4,0.254,1047.000,0.457,0.285,0.48,0.15
K'Sante,13.05,Middle,1,0.056,0.056,0.667,1.000,1.000,0,0,5,5,0.357,0.000,0.000,95,449,5,8,0.195,227.000,0.099,0.170,0.4,0.44
Kalista,13.05,ADC,1,0.056,0.111,0.167,0.000,1.000,1,2,3,2,0.571,0.143,1.000,554,310,6,8.9,0.312,252.000,0.173,0.268,0.52,0.33
LeBlanc,13.05,Middle,1,0.056,0.500,0.556,0.000,0.000,6,1,6,12,0.800,0.050,0.000,754,15,6,7.9,0.265,818.000,0.383,0.297,0.25,0.25
Lux,13.05,Support,1,0.056,0.000,0.056,0.000,1.000,3,5,4,1.4,1.000,0.278,0.000,1038,676,-7,0.7,0.028,476.000,0.228,0.117,1.95,0.34
Malphite,13.05,Top,1,0.056,0.000,0.056,0.000,1.000,1,4,7,2,0.533,0.200,0.000,-315,-265,-19,6.8,0.190,460.000,0.215,0.186,0.4,0.25
Ryze,13.05,Middle,1,0.056,0.056,0.111,1.000,1.000,4,5,7,2.2,0.733,0.227,1.000,470,396,7,9.8,0.259,821.000,0.292,0.226,0.26,0.33
Sejuani,13.05,Top,1,0.056,0.222,0.611,1.000,0.000,1,2,3,2,0.364,0.333,0.000,-216,-61,-6,8.2,0.197,449.000,0.238,0.194,0.35,0.28
Tristana,13.05,Middle,1,0.056,0.000,0.056,1.000,1.000,6,4,11,4.3,0.850,0.267,0.000,-754,-15,-6,8.1,0.271,969.000,0.367,0.261,0.65,0.25
Xin Zhao,13.05,Jungle,1,0.056,0.000,0.056,0.000,1.000,4,4,4,2,0.615,0.211,0.000,353,1174,21,6,0.168,429.000,0.241,0.219,0.27,0.58
Zoe,13.05,Middle,1,0.056,0.056,0.111,0.000,0.000,2,2,2,2,0.571,0.143,0.000,-95,-449,-5,7.7,0.227,624.000,0.428,0.227,0.44,0
Blitzcrank,13.05,-,0,0.000,0.056,0.056,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Camille,13.05,-,0,0.000,0.056,0.056,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ezreal,13.05,-,0,0.000,0.056,0.056,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gnar,13.05,-,0,0.000,0.333,0.333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Graves,13.05,-,0,0.000,0.111,0.111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irelia,13.05,-,0,0.000,0.056,0.056,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jarvan IV,13.05,-,0,0.000,0.056,0.056,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Renekton,13.05,-,0,0.000,0.222,0.222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sylas,13.05,-,0,0.000,0.111,0.111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vel'Koz,13.05,-,0,0.000,0.111,0.111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
