Champion,Patch,Pos,GP,P%,B%,P+B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM
Nami,13.03,Support,12,0.480,0.000,0.480,0.580,0.330,6,17,110,6.8,0.789,0.170,0.250,-132,-24,-6.2,0.5,0.015,170.000,0.080,0.092,0,0.36
Lucian,13.03,ADC,11,0.440,0.160,0.600,0.550,0.360,48,16,38,5.4,0.683,0.172,0.180,-8,68,3,9.1,0.301,596.000,0.286,0.276,0,0.36
Vi,13.03,Jungle,11,0.440,0.120,0.560,0.640,0.450,16,31,75,2.9,0.700,0.258,0.450,96,139,1.8,5.2,0.146,224.000,0.102,0.157,0,0.42
Azir,13.03,Middle,10,0.400,0.200,0.600,0.200,0.400,18,24,35,2.2,0.596,0.170,0.000,116,358,8.4,8.9,0.276,643.000,0.292,0.243,0,0.24
Renekton,13.03,Top,8,0.320,0.440,0.760,0.630,0.000,14,19,32,2.4,0.517,0.218,0.130,548,217,8.5,8,0.231,457.000,0.202,0.226,0,0.26
Sejuani,13.03,Jungle,8,0.320,0.160,0.480,0.630,0.880,16,13,52,5.2,0.791,0.200,0.500,11,-56,-6.4,5,0.136,255.000,0.129,0.159,0,0.35
Sion,13.03,Top,8,0.320,0.320,0.640,0.500,0.380,14,16,49,3.9,0.612,0.200,0.380,-343,-30,-8.1,7.5,0.215,458.000,0.191,0.199,0,0.18
Jax,13.03,Top,7,0.280,0.360,0.640,0.570,0.140,22,13,21,3.3,0.518,0.186,0.290,-86,-50,0.7,8.1,0.257,474.000,0.218,0.237,0,0.11
Sylas,13.03,Middle,7,0.280,0.320,0.600,0.710,0.570,22,12,37,4.9,0.608,0.255,0.430,26,-105,-1.9,8.9,0.270,511.000,0.240,0.251,0,0.21
Wukong,13.03,Jungle,7,0.280,0.040,0.320,0.290,0.710,16,18,39,3.1,0.696,0.205,0.430,-156,68,2.4,5.2,0.148,350.000,0.146,0.168,0,0.4
K'Sante,13.03,Top,6,0.240,0.040,0.280,0.670,0.830,5,10,36,4.1,0.612,0.147,0.170,82,-46,4.2,8.1,0.233,461.000,0.182,0.219,0,0.16
Viktor,13.03,Middle,6,0.240,0.000,0.240,0.500,0.170,17,16,17,2.1,0.667,0.200,0.000,-245,-417,-11.5,8.4,0.255,818.000,0.336,0.251,0,0.13
Akali,13.03,Middle,5,0.200,0.320,0.520,0.800,0.800,20,11,16,3.3,0.480,0.282,0.000,-269,-270,-4.4,8.7,0.248,536.000,0.256,0.222,0,0.21
Annie,13.03,Support,5,0.200,0.240,0.480,0.600,0.400,0,8,51,6.4,0.750,0.160,0.200,-108,-144,-4.2,0.9,0.029,219.000,0.099,0.089,0,0.46
Elise,13.03,Jungle,5,0.200,0.800,1.000,0.200,0.200,12,16,21,2.1,0.688,0.205,0.800,108,-210,-8.6,5,0.165,393.000,0.183,0.174,0,0.5
Nautilus,13.03,Support,5,0.200,0.000,0.200,0.000,1.000,1,27,15,0.6,0.571,0.273,0.200,-121,-89,10,1.2,0.030,136.000,0.064,0.083,0,0.3
Sivir,13.03,ADC,5,0.200,0.040,0.240,0.600,1.000,14,6,37,8.5,0.739,0.118,0.400,-294,-258,-9.8,10.1,0.339,617.000,0.254,0.270,0,0.31
Xayah,13.03,ADC,5,0.200,0.080,0.280,0.400,1.000,18,13,15,2.5,0.660,0.188,0.200,-265,-379,-10.8,9.8,0.334,719.000,0.271,0.269,0,0.29
Caitlyn,13.03,ADC,4,0.160,0.760,0.920,0.500,0.250,13,9,13,2.9,0.634,0.173,0.000,64,-167,-5.8,8.8,0.305,554.000,0.257,0.252,0,0.35
Gnar,13.03,Top,4,0.160,0.320,0.480,0.250,0.500,8,13,17,1.9,0.532,0.224,0.250,48,270,5,8.7,0.264,598.000,0.259,0.238,0,0.22
Gragas,13.03,Top,4,0.160,0.000,0.160,0.250,1.000,2,9,10,1.3,0.387,0.173,0.000,-233,-18,-7,7.6,0.240,402.000,0.207,0.209,0,0.15
Jayce,13.03,Middle,4,0.160,0.320,0.520,0.500,0.000,14,11,27,3.7,0.695,0.190,0.250,-10,-131,-3,8.7,0.263,778.000,0.294,0.253,0,0.34
Taliyah,13.03,Middle,4,0.160,0.360,0.520,0.750,0.500,12,5,28,8,0.727,0.139,0.000,-360,-284,-8,8.2,0.271,599.000,0.261,0.223,0,0.21
Yone,13.03,Middle,4,0.160,0.120,0.280,1.000,0.750,14,7,25,5.6,0.650,0.259,0.000,85,300,1.8,9.4,0.288,631.000,0.277,0.246,0,0.22
Aphelios,13.03,ADC,3,0.120,0.000,0.120,0.330,1.000,5,5,4,1.8,0.643,0.147,0.000,190,25,5.3,9.7,0.308,478.000,0.222,0.283,0,0.33
Irelia,13.03,Top,3,0.120,0.040,0.160,0.670,0.670,10,11,10,1.8,0.606,0.333,0.330,60,69,3.3,9.4,0.279,489.000,0.246,0.255,0,0.12
Karma,13.03,Support,3,0.120,0.160,0.280,0.330,0.330,3,5,24,5.4,0.818,0.122,0.670,174,-456,2,0.8,0.025,223.000,0.099,0.086,0,0.43
LeBlanc,13.03,Middle,3,0.120,0.000,0.120,0.330,1.000,10,12,10,1.7,0.606,0.308,0.330,468,-18,6,7.3,0.192,554.000,0.249,0.215,0,0.32
Lux,13.03,Support,3,0.120,0.000,0.120,0.670,0.330,1,9,25,2.9,0.703,0.250,0.000,-105,379,0.7,1,0.041,302.000,0.151,0.099,0,0.4
Rakan,13.03,Support,3,0.120,0.120,0.240,1.000,0.670,5,3,35,13.3,0.800,0.130,0.330,125,396,10.7,1.6,0.038,176.000,0.058,0.114,0,0.75
Varus,13.03,ADC,3,0.120,0.280,0.400,0.670,0.330,18,6,16,5.7,0.654,0.143,0.330,169,89,-3,9.3,0.297,705.000,0.280,0.280,0,0.59
Ashe,13.03,Support,2,0.080,0.840,0.960,0.500,0.000,2,7,19,3,0.750,0.269,0.000,281,188,-9.5,1,0.041,386.000,0.147,0.110,0,0.65
Gwen,13.03,Top,2,0.080,0.080,0.160,0.500,1.000,6,6,8,2.3,0.609,0.273,0.000,82,-274,-1,8.6,0.242,353.000,0.178,0.249,0,0.34
Jarvan IV,13.03,Jungle,2,0.080,0.000,0.080,0.000,0.500,2,11,10,1.1,0.857,0.289,0.000,-530,-92,-7,4.2,0.115,146.000,0.077,0.142,0,0.29
Jinx,13.03,ADC,2,0.080,0.080,0.160,0.000,1.000,6,7,6,1.7,0.750,0.200,1.000,-118,-228,-7.5,10.9,0.395,579.000,0.286,0.306,0,0.4
Orianna,13.03,Middle,2,0.080,0.040,0.120,0.000,0.500,1,4,5,1.5,0.667,0.133,0.000,311,249,10.5,9,0.276,478.000,0.269,0.245,0,0.08
Ornn,13.03,Top,2,0.080,0.080,0.160,0.000,1.000,1,4,4,1.3,0.417,0.148,0.500,-570,-120,-8,7.4,0.211,404.000,0.187,0.187,0,0.15
Soraka,13.03,Support,2,0.080,0.040,0.120,0.500,1.000,0,4,18,4.5,0.900,0.148,0.000,-7,-175,-2.5,0.5,0.021,120.000,0.068,0.082,0,0.22
Thresh,13.03,Support,2,0.080,0.040,0.120,0.000,1.000,2,10,12,1.4,0.737,0.270,0.500,39,-96,0,1.2,0.020,110.000,0.048,0.090,0,0.5
Amumu,13.03,Jungle,1,0.040,0.000,0.040,1.000,1.000,2,2,13,7.5,0.714,0.222,1.000,189,56,2,6.9,0.205,485.000,0.205,0.183,0,0.34
Annie,13.03,Middle,1,0.040,0.240,0.480,0.000,0.000,4,4,4,2,0.667,0.222,1.000,241,-83,0,7.7,0.210,1076.000,0.362,0.269,0,0.21
Ashe,13.03,ADC,1,0.040,0.840,0.960,0.000,0.000,3,3,3,2,0.667,0.200,0.000,-300,149,-6,7.6,0.236,397.000,0.185,0.256,0,0.47
Cho'Gath,13.03,Top,1,0.040,0.000,0.040,1.000,1.000,5,5,9,2.8,0.636,0.500,0.000,-144,-155,0,7,0.206,529.000,0.176,0.220,0,0.21
Fiora,13.03,Top,1,0.040,0.320,0.360,1.000,0.000,9,2,4,6.5,0.565,0.167,0.000,61,-420,-15,8.6,0.303,602.000,0.200,0.250,0,0.49
Gangplank,13.03,Top,1,0.040,0.000,0.040,0.000,1.000,1,3,4,1.7,0.625,0.250,0.000,456,46,4,8.9,0.296,703.000,0.407,0.301,0,0.07
Graves,13.03,Jungle,1,0.040,0.160,0.200,0.000,1.000,1,2,8,4.5,1.000,0.133,1.000,-116,-335,-14,6.4,0.221,485.000,0.227,0.196,0,0.41
Jayce,13.03,Top,1,0.040,0.320,0.520,0.000,0.000,2,5,3,1,0.714,0.294,1.000,1200,174,19,8.3,0.234,765.000,0.354,0.262,0,0.23
Jhin,13.03,ADC,1,0.040,0.000,0.040,1.000,1.000,8,2,9,8.5,0.739,0.167,1.000,-699,619,6,9.4,0.306,732.000,0.243,0.268,0,0.18
Kalista,13.03,ADC,1,0.040,0.080,0.120,1.000,1.000,6,1,3,9,0.600,0.111,0.000,300,-149,6,9.3,0.285,509.000,0.246,0.247,0,0.35
Kassadin,13.03,Middle,1,0.040,0.080,0.120,0.000,1.000,2,2,2,2,1.000,0.125,0.000,77,278,3,8.3,0.265,513.000,0.224,0.276,0,0.32
Lee Sin,13.03,Top,1,0.040,0.000,0.040,1.000,1.000,1,2,5,3,0.429,0.667,0.000,-120,-260,-13,8.1,0.263,243.000,0.140,0.180,0,0.11
Miss Fortune,13.03,ADC,1,0.040,0.000,0.040,0.000,0.000,4,4,3,1.8,1.000,0.190,0.000,459,300,23,8.9,0.326,668.000,0.367,0.299,0,0.36
Olaf,13.03,Top,1,0.040,0.040,0.080,0.000,1.000,1,6,3,0.7,0.444,0.286,0.000,-1444,-681,-12,7.5,0.248,525.000,0.252,0.224,0,0.2
Rengar,13.03,Jungle,1,0.040,0.000,0.040,1.000,1.000,4,3,8,4,0.522,0.333,0.000,957,1137,24,6.9,0.234,334.000,0.115,0.198,0,0.41
Ryze,13.03,Middle,1,0.040,0.080,0.120,0.000,1.000,1,6,0,0.2,0.500,0.353,0.000,-61,47,0,9,0.261,611.000,0.229,0.236,0,0.18
Swain,13.03,Middle,1,0.040,0.000,0.040,1.000,1.000,1,5,14,3,0.833,0.417,0.000,-241,83,0,7.5,0.210,385.000,0.169,0.189,0,0.12
Tahm Kench,13.03,Support,1,0.040,0.000,0.040,1.000,1.000,1,2,4,2.5,0.417,0.250,0.000,20,324,3,1.1,0.011,126.000,0.059,0.089,0,0.34
Tristana,13.03,Middle,1,0.040,0.240,0.280,0.000,0.000,2,3,0,0.7,0.286,0.250,0.000,571,698,15,10,0.354,340.000,0.171,0.293,0,0.32
Ahri,13.03,-,0,0.000,0.080,0.080,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Draven,13.03,-,0,0.000,0.040,0.040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ezreal,13.03,-,0,0.000,0.040,0.040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Illaoi,13.03,-,0,0.000,0.040,0.040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kai'Sa,13.03,-,0,0.000,0.040,0.040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kindred,13.03,-,0,0.000,0.320,0.320,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pyke,13.03,-,0,0.000,0.040,0.040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sett,13.03,-,0,0.000,0.040,0.040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zilean,13.03,-,0,0.000,0.160,0.160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sejuani,13.04,Jungle,10,0.500,0.300,0.800,0.400,0.300,6,26,74,3.1,0.734,0.181,0.400,-212,-53,1.5,5,0.137,260.000,0.143,0.158,0.35,0.48
Rakan,13.04,Support,9,0.450,0.050,0.500,0.670,0.330,6,25,102,4.3,0.824,0.234,0.220,-145,-67,5.9,1.3,0.034,163.000,0.071,0.101,2.35,0.64
Sion,13.04,Top,8,0.400,0.300,0.700,1.000,0.250,14,10,59,7.3,0.553,0.161,0.250,-148,-60,-11,7.3,0.202,479.000,0.194,0.182,0.46,0.17
Thresh,13.04,Support,8,0.400,0.150,0.550,0.630,0.500,10,25,80,3.6,0.833,0.243,0.000,138,69,6.5,1.1,0.020,133.000,0.058,0.094,1.65,0.35
Vi,13.04,Jungle,8,0.400,0.550,0.950,0.630,0.500,23,31,63,2.8,0.735,0.316,0.500,194,160,-0.6,5.4,0.161,257.000,0.116,0.168,0.38,0.48
Xayah,13.04,ADC,8,0.400,0.100,0.500,0.500,0.500,31,14,45,5.4,0.673,0.136,0.250,-76,-26,-4.8,10.1,0.346,732.000,0.307,0.279,0.51,0.47
Aphelios,13.04,ADC,7,0.350,0.150,0.500,0.430,0.430,17,18,42,3.3,0.738,0.175,0.000,-40,-13,0.3,9.4,0.313,667.000,0.296,0.261,0.42,0.33
K'Sante,13.04,Top,7,0.350,0.150,0.500,0.140,0.430,19,20,27,2.3,0.605,0.185,0.290,-28,-100,0.3,7.9,0.226,482.000,0.236,0.232,0.38,0.2
Aurelion Sol,13.04,Middle,6,0.300,0.200,0.500,0.330,0.330,23,10,24,4.7,0.746,0.132,0.000,-466,-427,-13,9.7,0.315,601.000,0.295,0.267,0.49,0.12
Lee Sin,13.04,Jungle,6,0.300,0.200,0.500,0.500,0.670,18,18,30,2.7,0.800,0.231,0.330,26,-31,-5.8,5.3,0.167,275.000,0.121,0.180,0.51,0.27
Renekton,13.04,Top,6,0.300,0.300,0.600,0.500,0.830,13,18,27,2.2,0.597,0.228,0.000,67,162,5.3,7.9,0.241,371.000,0.187,0.225,0.46,0.2
Varus,13.04,ADC,6,0.300,0.450,0.800,0.830,0.500,32,13,31,4.8,0.643,0.255,0.330,149,39,0.8,8.8,0.273,718.000,0.287,0.244,0.56,0.31
Viego,13.04,Jungle,6,0.300,0.000,0.300,0.330,0.670,16,18,42,3.2,0.707,0.231,0.500,-17,-13,6.7,5.4,0.164,286.000,0.122,0.171,0.37,0.43
Zeri,13.04,ADC,6,0.300,0.450,0.750,0.170,0.000,16,14,18,2.4,0.739,0.197,0.330,-6,-44,-1.5,9.9,0.320,530.000,0.278,0.277,0.41,0.49
Lulu,13.04,Support,5,0.250,0.100,0.350,0.000,0.800,1,13,25,2,0.788,0.176,0.200,-325,-73,-5.2,0.7,0.021,84.000,0.053,0.085,1.51,0.35
Azir,13.04,Middle,4,0.200,0.050,0.250,0.750,0.250,14,8,25,4.9,0.736,0.222,0.500,432,356,12.5,9.4,0.287,655.000,0.293,0.259,0.42,0.26
Caitlyn,13.04,ADC,4,0.200,0.750,0.950,0.500,0.500,21,9,21,4.7,0.764,0.132,0.500,-116,-78,2.8,10.1,0.373,702.000,0.314,0.303,0.4,0.46
Cho'Gath,13.04,Top,4,0.200,0.050,0.250,0.500,0.750,7,14,18,1.8,0.595,0.269,0.250,86,121,4.3,7.3,0.184,538.000,0.245,0.213,0.55,0.15
Ezreal,13.04,ADC,4,0.200,0.000,0.200,0.500,1.000,18,5,15,6.6,0.660,0.128,0.000,286,48,6.5,9.6,0.320,784.000,0.321,0.276,0.38,0.26
Gnar,13.04,Top,4,0.200,0.300,0.500,0.000,0.250,5,15,24,1.9,0.592,0.217,0.500,139,299,3.8,7.9,0.242,459.000,0.234,0.227,0.45,0.24
Gragas,13.04,Top,4,0.200,0.300,0.750,0.750,0.250,9,8,29,4.8,0.613,0.258,0.250,24,-54,2.5,7.6,0.217,524.000,0.223,0.203,0.35,0.16
Karma,13.04,Support,4,0.200,0.150,0.350,0.500,0.250,3,8,49,6.5,0.825,0.151,0.500,24,-134,-7.8,0.7,0.028,203.000,0.091,0.097,1.64,0.45
Ahri,13.04,Middle,3,0.150,0.150,0.300,0.670,0.000,17,2,21,19,0.826,0.059,0.000,57,156,7,9.2,0.305,906.000,0.333,0.277,0.39,0.18
Annie,13.04,Middle,3,0.150,0.650,0.850,0.670,0.000,5,11,27,2.9,0.681,0.268,0.000,190,114,5,7.5,0.205,525.000,0.249,0.205,0.4,0.29
Elise,13.04,Jungle,3,0.150,0.550,0.700,0.670,0.330,11,4,14,6.3,0.581,0.182,0.330,160,-33,-2,5.5,0.143,519.000,0.171,0.175,0.94,0.66
Gragas,13.04,Jungle,3,0.150,0.300,0.750,0.670,0.330,5,6,18,3.8,0.535,0.207,0.330,152,5,-1.7,6.3,0.182,474.000,0.196,0.169,0.62,0.4
Nautilus,13.04,Support,3,0.150,0.050,0.200,0.000,1.000,5,12,20,2.1,0.714,0.231,0.670,235,93,8.3,1.4,0.037,164.000,0.087,0.098,1.65,0.6
Taliyah,13.04,Middle,3,0.150,0.200,0.350,0.330,1.000,15,10,15,3,0.682,0.233,0.670,-444,-295,-14,8.5,0.274,442.000,0.251,0.255,0.42,0.21
Yone,13.04,Middle,3,0.150,0.250,0.400,0.330,0.670,4,10,13,1.7,0.630,0.357,0.000,-164,-53,1.7,9.1,0.270,504.000,0.214,0.226,0.46,0.16
Akali,13.04,Middle,2,0.100,0.100,0.200,0.500,0.000,10,2,3,6.5,0.722,0.083,0.000,-185,200,1,8.4,0.264,528.000,0.259,0.254,0.22,0.29
Ashe,13.04,Support,2,0.100,0.800,0.900,0.500,0.000,1,4,18,4.8,0.792,0.174,0.500,124,80,-14.5,0.9,0.036,328.000,0.143,0.103,2.63,0.76
Galio,13.04,Middle,2,0.100,0.000,0.100,0.000,1.000,6,6,10,2.7,0.696,0.207,0.500,-204,-402,-15,8.1,0.245,489.000,0.239,0.241,0.54,0.13
Gragas,13.04,Middle,2,0.100,0.300,0.750,0.000,0.500,0,5,5,1,0.500,0.132,0.000,-99,17,-3.5,8.2,0.237,397.000,0.278,0.214,0.4,0.22
Jayce,13.04,Middle,2,0.100,0.100,0.300,0.500,0.000,14,2,10,12,0.750,0.105,0.000,208,326,2,9.3,0.322,822.000,0.284,0.298,0.39,0.33
Jayce,13.04,Top,2,0.100,0.100,0.300,1.000,0.500,7,6,9,2.7,0.471,0.273,0.000,439,175,20.5,8.2,0.239,684.000,0.225,0.226,0.42,0.17
Kalista,13.04,ADC,2,0.100,0.050,0.200,0.500,0.500,7,2,5,6,0.480,0.087,0.000,-64,331,2.5,9.4,0.325,198.000,0.123,0.266,0.31,0.36
LeBlanc,13.04,Middle,2,0.100,0.150,0.250,1.000,1.000,7,5,10,3.4,0.630,0.217,0.500,96,-181,5,8,0.253,661.000,0.280,0.223,0.86,0.4
Lucian,13.04,ADC,2,0.100,0.150,0.250,0.500,1.000,5,7,5,1.4,0.526,0.233,0.000,-113,-73,-1.5,9.2,0.302,734.000,0.317,0.262,0.53,0.3
Nami,13.04,Support,2,0.100,0.000,0.100,0.500,0.000,2,6,10,2,0.632,0.200,0.000,-343,-33,-11,0.5,0.017,174.000,0.076,0.087,1.07,0.32
Olaf,13.04,Top,2,0.100,0.050,0.150,0.000,1.000,5,8,5,1.3,0.833,0.190,0.000,-98,-386,8,8,0.234,555.000,0.327,0.261,0.39,0.24
Soraka,13.04,Support,2,0.100,0.000,0.100,0.500,1.000,1,5,21,4.4,0.846,0.250,0.000,306,174,-11,0.5,0.018,145.000,0.075,0.101,1.42,0.4
Syndra,13.04,Middle,2,0.100,0.050,0.150,1.000,1.000,6,2,15,10.5,0.778,0.333,0.500,451,214,13,9.3,0.275,676.000,0.292,0.242,0.51,0.34
Wukong,13.04,Jungle,2,0.100,0.100,0.200,0.500,1.000,6,7,7,1.9,0.542,0.212,0.000,-58,-192,-6,5.3,0.161,276.000,0.126,0.181,0.31,0.42
Annie,13.04,Support,1,0.050,0.650,0.850,1.000,0.000,1,1,10,11,0.786,0.333,1.000,398,-334,-9,0.8,0.029,274.000,0.109,0.117,1.48,0.58
Cassiopeia,13.04,Middle,1,0.050,0.000,0.050,1.000,1.000,6,2,7,6.5,0.684,0.143,0.000,810,651,25,8.2,0.255,655.000,0.264,0.251,0.4,0.26
Fiora,13.04,Top,1,0.050,0.150,0.200,0.000,1.000,0,0,0,0,0.000,0.000,0.000,-621,-723,-30,7.2,0.253,187.000,0.152,0.205,0.39,0.17
Garen,13.04,Top,1,0.050,0.000,0.050,1.000,1.000,6,0,4,10,0.526,0.000,0.000,399,20,2,9.2,0.270,465.000,0.185,0.261,0.28,0.3
Heimerdinger,13.04,Support,1,0.050,0.000,0.050,1.000,1.000,0,2,7,3.5,0.583,1.000,0.000,481,180,4,0.8,0.037,370.000,0.135,0.101,1.47,0.35
Jax,13.04,Top,1,0.050,0.100,0.150,0.000,0.000,0,5,1,0.2,0.200,0.294,0.000,-475,-129,-17,7.6,0.235,270.000,0.144,0.203,0.56,0.36
Kai'Sa,13.04,ADC,1,0.050,0.000,0.050,1.000,1.000,4,3,4,2.7,0.571,0.231,0.000,-301,-66,1,9.5,0.291,512.000,0.204,0.258,0.73,0.51
Kalista,13.04,Support,1,0.050,0.050,0.200,1.000,1.000,1,5,6,1.4,0.583,0.455,0.000,-21,396,5,1.1,0.050,330.000,0.133,0.125,2.25,0.86
Lux,13.04,Support,1,0.050,0.000,0.050,0.000,1.000,1,5,1,0.4,0.500,0.263,1.000,-560,-106,2,0.8,0.038,297.000,0.196,0.102,1.15,0.49
Nocturne,13.04,Jungle,1,0.050,0.000,0.050,0.000,1.000,0,3,1,0.3,0.333,0.231,0.000,121,654,15,6.9,0.175,156.000,0.100,0.171,0.93,0.42
Poppy,13.04,Jungle,1,0.050,0.000,0.050,1.000,0.000,1,0,14,15,0.789,0.000,0.000,-430,-666,-7,4.8,0.151,290.000,0.106,0.141,0.37,0.42
Sylas,13.04,Middle,1,0.050,0.200,0.250,0.000,1.000,0,4,2,0.5,0.333,0.200,0.000,-214,-230,-20,7.9,0.284,400.000,0.180,0.208,0.38,0
Tryndamere,13.04,Middle,1,0.050,0.000,0.050,1.000,1.000,5,2,4,4.5,0.692,0.200,1.000,682,360,-1,8.9,0.238,401.000,0.167,0.252,0.34,0.77
Varus,13.04,Support,1,0.050,0.450,0.800,1.000,0.000,2,1,10,12,0.632,0.250,0.000,560,106,-2,1.2,0.057,384.000,0.188,0.139,2.49,0.89
Veigar,13.04,Middle,1,0.050,0.150,0.200,0.000,1.000,2,3,3,1.7,0.714,0.143,0.000,4,-120,0,8,0.246,618.000,0.287,0.228,0.56,0.23
Vel'Koz,13.04,Middle,1,0.050,0.000,0.050,0.000,1.000,6,2,7,6.5,0.813,0.105,0.000,263,385,7,7.2,0.216,1165.000,0.481,0.265,0.47,0.02
Zoe,13.04,Middle,1,0.050,0.150,0.200,1.000,0.000,4,1,11,15,0.682,0.050,0.000,70,-27,13,7,0.191,1027.000,0.315,0.196,0.45,0.11
Graves,13.04,-,0,0.000,0.050,0.050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gwen,13.04,-,0,0.000,0.200,0.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irelia,13.04,-,0,0.000,0.100,0.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kindred,13.04,-,0,0.000,0.200,0.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lissandra,13.04,-,0,0.000,0.050,0.050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Orianna,13.04,-,0,0.000,0.100,0.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tristana,13.04,-,0,0.000,0.050,0.050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zilean,13.04,-,0,0.000,0.050,0.050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sion,13.05,Top,11,0.611,0.167,0.778,0.550,0.000,19,26,83,3.9,0.557,0.182,0.090,-91,-71,-5.7,6.9,0.217,380.000,0.175,0.192,0.42,0.2
K'Sante,13.05,Top,10,0.556,0.056,0.667,0.300,0.600,30,22,39,3.1,0.561,0.157,0.000,2,-60,2,7.1,0.219,423.000,0.189,0.220,0.47,0.17
Varus,13.05,ADC,8,0.444,0.333,0.778,0.500,0.000,32,23,43,3.3,0.708,0.187,0.380,264,-60,7.9,8.8,0.288,688.000,0.263,0.249,0.4,0.29
Wukong,13.05,Jungle,8,0.444,0.167,0.611,0.750,0.630,40,14,52,6.6,0.736,0.187,0.250,42,-150,-4.4,5.7,0.182,381.000,0.174,0.203,0.33,0.51
Rakan,13.05,Support,7,0.389,0.333,0.722,0.570,0.140,6,22,80,3.9,0.851,0.218,0.430,-107,-152,4.4,1.2,0.033,137.000,0.066,0.094,2.43,0.55
